date,name
01.01.2025,Neujahr
06.01.2025,Heilige Drei Könige
18.04.2025,Karfreitag
21.04.2025,Ostermontag
01.05.2025,Tag der Arbeit
29.05.2025,Christi Himmelfahrt
09.06.2025,Pfingstmontag
19.06.2025,Fronleichnam
15.08.2025,Mariä Himmelfahrt
03.10.2025,Tag der Deutschen Einheit
01.11.2025,Allerheiligen
25.12.2025,1. Weihnachtstag
26.12.2025,2. Weihnachtstag
01.01.2026,Neujahr
06.01.2026,Heilige Drei Könige
03.04.2026,Karfreitag
06.04.2026,Ostermontag
01.05.2026,Tag der Arbeit
14.05.2026,Christi Himmelfahrt
25.05.2026,Pfingstmontag
04.06.2026,Fronleichnam
15.08.2026,Mariä Himmelfahrt
03.10.2026,Tag der Deutschen Einheit
01.11.2026,Allerheiligen
25.12.2026,1. Weihnachtstag
26.12.2026,2. Weihnachtstag
